date,pacitan,nawangan,kebonagung,bandar,tegalombo,tulakan,p_das,pe,q_runoff,q_baseflow,q_total
2014-06-26,28.0,46.0,47.0,0.0,2.0,2.0,20.8333,0.923468,7.481803,3.92918,11.410983
2014-06-27,133.0,27.0,36.0,3.0,1.0,0.0,33.3333,5.060235,40.997275,3.92918,44.926455
2014-06-28,0.0,0.0,1.0,0.0,0.0,1.0,0.3333,0.0,0.0,3.92918,3.92918
2014-06-29,1.0,0.0,3.0,0.0,0.0,1.0,0.8333,0.0,0.0,3.92918,3.92918
2014-06-30,0.0,0.0,1.0,0.0,0.0,0.0,0.1667,0.0,0.0,3.92918,3.92918
2014-07-01,34.0,0.0,69.0,0.0,0.0,25.0,21.3333,1.033287,8.371539,3.92918,12.300719
2014-07-02,1.0,0.0,47.0,0.0,0.0,0.0,8.0,0.0,0.0,3.92918,3.92918
2014-07-03,7.0,0.0,24.0,2.0,2.0,18.0,8.8333,0.0,0.0,3.92918,3.92918
2014-07-04,1.0,0.0,6.0,0.0,0.0,5.0,2.0,0.0,0.0,3.92918,3.92918
2014-07-05,0.0,0.0,1.0,0.0,0.0,0.0,0.1667,0.0,0.0,3.92918,3.92918
2014-07-06,0.0,0.0,15.0,0.0,0.0,0.0,2.5,0.0,0.0,3.92918,3.92918
2014-07-07,0.0,0.0,7.0,4.0,0.0,0.0,1.8333,0.0,0.0,3.92918,3.92918
2014-07-08,5.0,0.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,3.92918,3.92918
2014-07-09,1.0,0.0,5.0,0.0,0.0,3.0,1.5,0.0,0.0,3.92918,3.92918
2014-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-07-11,0.0,0.0,0.0,4.0,0.0,0.0,0.6667,0.0,0.0,3.92918,3.92918
2014-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-07-13,9.0,12.0,38.0,11.0,0.0,45.0,19.1667,0.597681,4.842326,3.92918,8.771506
2014-07-14,72.0,24.0,123.0,7.0,5.0,76.0,51.1667,14.511453,117.569639,3.92918,121.498818
2014-07-15,7.0,2.0,21.0,3.0,6.0,32.0,11.8333,0.0,0.0,3.92918,3.92918
2014-07-16,1.0,0.0,4.0,0.0,0.0,0.0,0.8333,0.0,0.0,3.92918,3.92918
2014-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-07-21,0.0,0.0,0.0,0.0,4.0,1.0,0.8333,0.0,0.0,3.92918,3.92918
2014-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-07-25,0.0,0.0,2.0,0.0,0.0,0.0,0.3333,0.0,0.0,3.92918,3.92918
2014-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-07-28,1.0,0.0,0.0,0.0,0.0,6.0,1.1667,0.0,0.0,3.92918,3.92918
2014-07-29,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.0,0.0,3.92918,3.92918
2014-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-08-02,13.0,0.0,28.0,0.0,0.0,0.0,6.8333,0.0,0.0,3.92918,3.92918
2014-08-03,2.0,0.0,7.0,0.0,0.0,0.0,1.5,0.0,0.0,3.92918,3.92918
